Class; Value; Class start; Class end;
1;7713;0.000082043945;0.002693290029;
2;45807;0.002693290029;0.005304536113;
3;79716;0.005304536113;0.007915782196;
4;82067;0.007915782196;0.010527028280;
5;76397;0.010527028280;0.013138274364;
6;70415;0.013138274364;0.015749520447;
7;65933;0.015749520447;0.018360766531;
8;62888;0.018360766531;0.020972012614;
9;57682;0.020972012614;0.023583258698;
10;54144;0.023583258698;0.026194504782;
11;51902;0.026194504782;0.028805750865;
12;50457;0.028805750865;0.031416996949;
13;49924;0.031416996949;0.034028243033;
14;47665;0.034028243033;0.036639489116;
15;45051;0.036639489116;0.039250735200;
16;42485;0.039250735200;0.041861981284;
17;42398;0.041861981284;0.044473227367;
18;41300;0.044473227367;0.047084473451;
19;39496;0.047084473451;0.049695719534;
20;38682;0.049695719534;0.052306965618;
21;36881;0.052306965618;0.054918211702;
22;34843;0.054918211702;0.057529457785;
23;33589;0.057529457785;0.060140703869;
24;30896;0.060140703869;0.062751949953;
25;27888;0.062751949953;0.065363196036;
26;24963;0.065363196036;0.067974442120;
27;21373;0.067974442120;0.070585688203;
28;18415;0.070585688203;0.073196934287;
29;15942;0.073196934287;0.075808180371;
30;14409;0.075808180371;0.078419426454;
31;12835;0.078419426454;0.081030672538;
32;11722;0.081030672538;0.083641918622;
33;10725;0.083641918622;0.086253164705;
34;9846;0.086253164705;0.088864410789;
35;9255;0.088864410789;0.091475656873;
36;8558;0.091475656873;0.094086902956;
37;8041;0.094086902956;0.096698149040;
38;7543;0.096698149040;0.099309395123;
39;6991;0.099309395123;0.101920641207;
40;6782;0.101920641207;0.104531887291;
41;6259;0.104531887291;0.107143133374;
42;5687;0.107143133374;0.109754379458;
43;5246;0.109754379458;0.112365625542;
44;4978;0.112365625542;0.114976871625;
45;4768;0.114976871625;0.117588117709;
46;4551;0.117588117709;0.120199363792;
47;4386;0.120199363792;0.122810609876;
48;4164;0.122810609876;0.125421855960;
49;4067;0.125421855960;0.128033102043;
50;3834;0.128033102043;0.130644348127;
51;3645;0.130644348127;0.133255594211;
52;3557;0.133255594211;0.135866840294;
53;3205;0.135866840294;0.138478086378;
54;3353;0.138478086378;0.141089332462;
55;3287;0.141089332462;0.143700578545;
56;3081;0.143700578545;0.146311824629;
57;2928;0.146311824629;0.148923070712;
58;3104;0.148923070712;0.151534316796;
59;3186;0.151534316796;0.154145562880;
60;3051;0.154145562880;0.156756808963;
61;2926;0.156756808963;0.159368055047;
62;2792;0.159368055047;0.161979301131;
63;2827;0.161979301131;0.164590547214;
64;2884;0.164590547214;0.167201793298;
65;2693;0.167201793298;0.169813039381;
66;2609;0.169813039381;0.172424285465;
67;2691;0.172424285465;0.175035531549;
68;2311;0.175035531549;0.177646777632;
69;1999;0.177646777632;0.180258023716;
70;1884;0.180258023716;0.182869269800;
71;1682;0.182869269800;0.185480515883;
72;1658;0.185480515883;0.188091761967;
73;1639;0.188091761967;0.190703008051;
74;1509;0.190703008051;0.193314254134;
75;1457;0.193314254134;0.195925500218;
76;1348;0.195925500218;0.198536746301;
77;1288;0.198536746301;0.201147992385;
78;1331;0.201147992385;0.203759238469;
79;1151;0.203759238469;0.206370484552;
80;1154;0.206370484552;0.208981730636;
81;1094;0.208981730636;0.211592976720;
82;946;0.211592976720;0.214204222803;
83;939;0.214204222803;0.216815468887;
84;892;0.216815468887;0.219426714970;
85;902;0.219426714970;0.222037961054;
86;776;0.222037961054;0.224649207138;
87;756;0.224649207138;0.227260453221;
88;711;0.227260453221;0.229871699305;
89;668;0.229871699305;0.232482945389;
90;636;0.232482945389;0.235094191472;
91;599;0.235094191472;0.237705437556;
92;608;0.237705437556;0.240316683640;
93;546;0.240316683640;0.242927929723;
94;558;0.242927929723;0.245539175807;
95;547;0.245539175807;0.248150421890;
96;560;0.248150421890;0.250761667974;
97;474;0.250761667974;0.253372914058;
98;539;0.253372914058;0.255984160141;
99;519;0.255984160141;0.258595406225;
100;512;0.258595406225;0.261206652309;
101;474;0.261206652309;0.263817898392;
102;465;0.263817898392;0.266429144476;
103;480;0.266429144476;0.269040390559;
104;449;0.269040390559;0.271651636643;
105;459;0.271651636643;0.274262882727;
106;491;0.274262882727;0.276874128810;
107;508;0.276874128810;0.279485374894;
108;412;0.279485374894;0.282096620978;
109;406;0.282096620978;0.284707867061;
110;381;0.284707867061;0.287319113145;
111;386;0.287319113145;0.289930359229;
112;390;0.289930359229;0.292541605312;
113;370;0.292541605312;0.295152851396;
114;354;0.295152851396;0.297764097479;
115;337;0.297764097479;0.300375343563;
116;349;0.300375343563;0.302986589647;
117;335;0.302986589647;0.305597835730;
118;311;0.305597835730;0.308209081814;
119;320;0.308209081814;0.310820327898;
120;300;0.310820327898;0.313431573981;
121;270;0.313431573981;0.316042820065;
122;286;0.316042820065;0.318654066148;
123;310;0.318654066148;0.321265312232;
124;265;0.321265312232;0.323876558316;
125;273;0.323876558316;0.326487804399;
126;273;0.326487804399;0.329099050483;
127;205;0.329099050483;0.331710296567;
128;201;0.331710296567;0.334321542650;
129;179;0.334321542650;0.336932788734;
130;181;0.336932788734;0.339544034818;
131;180;0.339544034818;0.342155280901;
132;169;0.342155280901;0.344766526985;
133;171;0.344766526985;0.347377773068;
134;162;0.347377773068;0.349989019152;
135;166;0.349989019152;0.352600265236;
136;167;0.352600265236;0.355211511319;
137;176;0.355211511319;0.357822757403;
138;141;0.357822757403;0.360434003487;
139;153;0.360434003487;0.363045249570;
140;170;0.363045249570;0.365656495654;
